""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"	"V117"	"V118"	"V119"	"V120"	"V121"	"V122"	"V123"	"V124"	"V125"	"V126"	"V127"
"1"	204	21	0	52	93	0	28	62	150	0	12	0	30	0	129	0	92	51	0	10	0	82	0	0	6	0	212	0	0	40	0	30	0	0	0	23	0	44	22	140	79	31	88	9	41	12	0	25	0	0	2	0	14	28	27	57	0	18	274	28	46	59	53	161	476	99	156	0	43	0	20	43	0	14	342	5	56	0	46	0	57	1	155	0	0	0	35	76	0	4845	17	15	45	52	482	12	0	0	0	0	0	399	119	3	0	40	28	0	83	20	100	399	269	3	118	17	132	231	0	0	7	0	42	0	237	0	0
"2"	145	0	0	31	67	214	35	17	159	0	0	52	36	0	138	0	23	0	0	24	0	35	2	0	26	10	342	51	38	45	2	27	0	42	25	0	0	0	6	0	163	37	0	13	0	15	0	29	136	90	4	32	0	1018	28	38	0	0	314	0	109	62	47	193	461	93	252	1	0	7	0	64	0	18	331	0	24	0	16	10	0	0	0	642	0	0	46	233	0	1364	0	0	31	29	519	9	0	0	0	60	241	0	126	51	32	0	30	0	54	4	0	343	212	33	110	15	126	241	0	0	0	81	127	0	246	6	0
"3"	94	46	175	33	0	0	34	0	0	0	0	0	28	28	166	10	9	0	635	28	137	55	0	70	50	0	264	44	2	38	4	28	109	0	0	32	18	11	0	143	194	68	97	18	18	16	6	13	151	104	5	59	32	138	0	0	0	0	262	38	41	81	0	0	388	97	159	6	59	0	27	57	0	0	374	14	0	44	36	0	49	0	75	0	19	0	82	0	8	3430	0	5	77	50	520	27	19	47	0	0	317	0	171	4	31	0	0	0	25	17	0	374	104	26	95	11	50	271	0	0	0	0	55	27	0	8	19
"4"	197	0	0	56	92	157	52	68	157	0	10	10	0	10	116	0	15	23	487	15	0	144	11	146	1	0	332	52	0	56	1	45	153	69	27	48	10	18	18	0	174	0	69	0	0	13	0	28	0	0	6	0	7	75	48	0	0	0	294	50	0	46	0	187	578	97	157	0	32	9	5	96	99	10	291	9	50	27	9	59	0	0	0	799	0	31	44	38	0	2440	0	1	61	72	504	0	0	0	0	0	0	346	142	0	79	0	51	49	24	23	0	406	203	11	102	0	104	0	0	0	19	83	139	0	292	3	5
"5"	132	27	0	37	81	0	35	0	170	25	0	0	34	32	148	4	0	35	258	30	0	0	1	82	0	55	297	12	0	91	19	49	183	40	8	54	6	8	15	114	120	0	77	11	19	10	6	39	0	0	6	0	21	395	0	11	14	0	313	0	0	0	66	179	533	91	234	0	52	11	26	55	178	25	357	0	18	34	23	0	0	0	121	766	58	0	47	0	0	5100	0	11	30	60	498	0	10	31	5	48	244	328	111	11	50	0	59	14	59	17	53	453	200	6	0	0	105	0	0	0	32	0	88	27	213	13	0
"6"	178	36	0	65	92	0	19	0	164	3	4	0	17	13	0	8	28	67	299	7	241	0	0	102	4	0	240	0	11	46	3	16	0	0	37	0	11	0	23	0	205	50	97	13	47	16	0	28	158	48	4	0	33	562	30	0	14	18	335	20	0	58	26	0	523	0	142	0	32	0	0	0	0	0	328	11	43	0	13	0	18	7	141	0	0	14	46	0	9	6497	0	10	0	60	528	21	36	24	0	24	0	260	137	27	41	45	52	0	116	16	71	401	152	5	0	18	78	0	18	5	0	57	110	0	0	24	9
"7"	122	53	179	0	0	178	40	45	119	11	0	0	9	18	0	1	0	0	0	0	123	77	6	101	20	0	280	0	0	29	0	27	0	108	13	90	40	0	10	152	0	35	85	0	61	7	14	40	113	98	1	47	21	94	34	25	12	7	269	0	86	47	49	162	430	115	276	10	38	0	22	0	161	31	320	0	60	16	0	0	0	3	144	970	11	24	51	0	0	2338	34	37	53	49	528	0	0	0	0	37	301	267	126	0	24	53	36	0	116	0	96	445	0	0	118	14	81	303	0	13	38	44	97	0	267	6	3
"8"	131	42	154	37	86	146	25	0	170	0	0	63	2	5	136	0	38	23	226	0	178	38	0	87	12	9	201	48	0	53	2	43	0	52	0	0	1	32	9	0	0	0	0	0	58	13	9	0	0	28	4	54	17	93	0	0	29	0	279	43	69	39	29	135	494	0	150	0	0	13	0	0	0	0	339	0	46	19	12	0	46	0	0	700	0	13	62	0	0	1759	8	14	28	14	576	0	8	0	0	33	176	235	141	4	28	43	51	0	0	19	0	339	229	19	113	0	102	0	0	0	0	0	107	0	218	0	0
"9"	229	0	0	63	100	284	50	80	0	0	0	0	0	0	151	3	0	56	218	20	0	33	0	123	0	0	234	0	1	28	7	85	0	0	36	63	11	24	24	158	167	0	0	0	34	15	0	23	88	75	7	72	19	504	20	0	0	5	333	20	0	50	28	194	539	109	181	0	16	0	17	58	112	14	305	17	0	75	17	22	34	0	122	0	27	9	61	52	12	3851	24	20	30	17	591	28	15	0	6	0	313	289	145	9	14	30	53	0	18	14	0	338	0	13	113	13	149	0	0	51	27	56	97	21	0	30	0
"10"	0	55	162	0	79	0	42	0	150	16	0	1126	14	5	107	4	55	0	362	0	0	38	0	0	22	23	272	0	0	0	2	59	117	51	14	0	14	49	17	0	0	72	82	11	47	18	0	45	0	84	5	0	26	916	0	5	13	0	306	0	57	46	0	149	589	93	176	4	0	2	6	51	209	7	351	10	49	36	8	9	36	0	141	0	25	26	39	58	4	4044	0	7	50	13	538	18	10	24	3	37	396	0	121	7	28	87	0	49	75	18	114	365	106	0	0	18	108	0	18	11	47	35	68	26	222	0	12
"11"	142	36	212	32	98	0	38	13	154	3	1	0	18	0	181	14	0	0	0	0	133	56	0	83	0	0	168	0	0	71	2	39	143	0	35	64	0	32	20	95	118	59	78	13	72	15	15	0	157	81	9	31	0	2062	53	75	15	6	246	39	61	56	0	153	659	92	141	1	18	7	0	0	149	6	304	14	26	6	18	43	0	0	194	997	0	6	34	145	4	648	26	12	56	24	498	0	0	13	0	0	321	276	118	1	36	0	69	0	66	16	0	380	0	0	0	7	202	0	4	0	25	41	128	28	0	0	6
"12"	0	30	139	21	77	0	23	51	0	4	0	0	0	0	132	0	0	0	393	12	0	38	0	78	0	0	199	0	11	46	0	23	0	76	7	67	0	0	17	88	123	67	56	23	56	7	0	23	182	0	5	20	31	1952	54	23	24	0	260	0	61	43	64	178	464	102	230	0	134	14	0	0	0	5	310	12	18	0	32	0	0	24	134	0	32	6	30	86	0	3796	0	28	36	0	484	20	1	0	1	14	0	367	141	0	31	0	34	0	0	13	39	330	0	4	126	13	0	221	0	13	0	0	89	12	242	12	6
"13"	107	40	82	52	84	121	28	0	118	0	1	0	0	20	175	0	7	0	382	0	0	58	0	111	35	18	177	34	0	52	3	36	154	0	4	0	12	0	19	118	0	31	52	0	57	9	0	22	160	72	3	59	0	403	35	36	17	29	300	35	0	47	89	147	400	120	150	0	45	8	0	30	73	20	365	8	21	0	32	0	23	105	102	793	14	10	58	67	0	3909	15	18	25	55	517	16	0	0	0	0	294	0	151	0	83	30	0	12	35	32	0	389	0	24	0	10	96	0	0	7	49	0	85	0	276	18	0
"14"	0	36	73	0	0	119	0	5	0	0	0	0	10	0	166	25	18	22	403	0	0	53	16	50	30	0	223	0	0	0	2	39	136	102	0	0	10	17	19	129	165	62	106	15	56	0	12	59	0	102	0	22	0	2017	0	24	11	18	254	43	99	36	0	137	594	94	0	0	52	0	42	38	122	12	401	10	46	27	0	15	0	0	109	0	0	10	93	132	7	4470	0	18	47	39	520	5	0	0	0	0	246	0	133	9	20	38	13	20	26	22	0	396	157	5	143	0	140	274	0	1	58	89	65	0	0	9	1
"15"	124	45	0	26	91	94	29	0	173	29	0	0	0	0	167	0	43	0	326	14	106	48	9	0	17	28	274	39	14	60	0	35	155	82	3	30	5	12	22	145	106	0	114	7	48	0	0	0	163	67	7	0	32	650	30	24	21	16	251	16	0	63	27	197	497	60	0	3	62	17	0	61	0	4	348	13	45	0	0	43	0	85	102	0	39	16	98	0	5	2575	43	0	20	0	520	10	5	54	0	0	354	0	134	0	45	35	0	25	0	19	70	441	0	20	152	17	104	225	25	0	12	62	95	22	220	0	0
"16"	142	25	227	26	77	271	41	96	0	8	0	0	0	20	137	1	0	0	335	4	199	55	0	97	29	0	277	0	0	54	3	24	0	0	10	0	9	0	0	162	119	61	0	10	68	11	0	0	0	0	3	80	29	515	60	25	0	0	261	61	0	61	0	0	0	0	185	0	40	34	0	143	0	0	317	12	28	0	0	11	0	4	95	795	26	25	66	14	5	9730	93	14	31	21	520	0	0	0	6	23	264	335	119	0	31	0	78	34	73	40	0	437	0	0	0	8	128	242	0	2	33	0	82	5	219	0	1
"17"	165	28	0	36	75	102	38	12	115	7	1	42	13	23	137	0	32	4	379	28	0	38	3	98	1	11	186	0	16	0	0	33	130	0	0	85	11	0	20	123	150	47	0	10	46	0	19	12	138	0	0	0	32	264	67	33	0	0	292	43	0	65	0	150	705	119	0	1	75	16	22	0	0	0	287	13	31	9	0	33	0	6	65	771	0	12	54	0	0	4668	16	48	0	29	515	0	0	0	14	7	0	0	126	0	39	0	0	16	158	3	45	316	151	0	104	15	169	230	0	12	14	39	103	25	275	3	5
"18"	150	12	0	46	77	100	29	60	0	0	0	0	0	29	110	7	123	0	0	0	0	47	11	99	14	29	169	37	40	65	1	51	0	115	11	0	5	1	0	138	86	56	65	10	78	0	6	0	196	53	3	43	47	81	0	24	0	0	265	0	31	44	24	149	462	118	0	0	39	0	10	82	97	20	370	14	64	7	8	24	28	2	0	781	0	0	76	0	14	5006	15	0	36	11	547	21	0	39	1	0	0	251	147	3	44	0	60	5	52	17	0	435	0	0	105	20	68	224	0	10	39	0	70	0	220	5	4
"19"	158	32	0	52	81	0	47	64	110	33	1	0	0	14	130	19	0	0	452	6	184	44	8	98	29	4	159	27	16	46	14	0	118	64	0	45	0	11	22	0	179	0	92	0	0	12	0	10	117	0	0	48	20	103	18	37	17	6	270	0	50	0	30	176	0	101	214	12	37	0	16	0	90	5	336	0	35	8	0	0	30	23	123	781	29	0	58	59	5	3244	0	16	49	0	539	0	0	0	0	12	0	248	114	2	25	45	59	0	29	0	93	367	0	75	61	0	158	288	0	0	0	44	69	21	207	10	0
"20"	206	0	0	55	75	0	39	43	0	0	0	0	0	12	142	0	23	61	348	16	0	0	4	84	0	50	271	37	3	35	12	44	0	0	0	0	0	44	4	115	135	44	0	7	75	0	13	0	127	44	0	133	28	222	44	9	22	24	350	0	0	47	37	171	631	111	190	8	30	8	35	65	120	11	301	16	15	87	0	13	19	192	81	896	0	20	49	103	0	1297	35	13	0	3	559	2	33	42	0	14	0	0	138	14	32	17	39	13	0	20	0	386	255	3	0	0	104	0	3	2	36	0	84	33	291	3	4
"21"	209	0	0	32	85	213	32	20	196	14	0	0	0	12	140	0	0	21	368	0	0	0	11	101	0	0	245	0	4	0	0	23	122	0	13	29	0	0	4	90	0	36	57	13	90	9	11	36	147	93	9	18	0	1047	0	44	0	0	265	26	79	38	47	198	589	140	118	0	44	0	17	0	89	32	316	0	0	0	0	1	35	0	0	724	0	0	58	148	0	8095	0	23	73	5	507	8	16	81	0	9	0	325	133	26	28	58	0	2	0	35	93	479	0	3	102	0	0	287	1	0	33	0	90	0	267	3	0
"22"	195	0	0	41	95	239	47	0	182	0	2	0	0	24	150	0	30	26	0	0	0	48	0	86	0	0	199	0	8	57	7	45	185	0	0	0	0	59	9	157	0	24	0	12	0	4	10	5	155	48	6	71	18	154	38	38	23	15	302	0	62	72	26	139	507	95	250	0	0	0	54	50	0	0	0	18	0	36	27	0	34	22	127	728	0	0	94	159	0	3087	0	20	23	24	490	0	14	28	0	39	0	322	118	13	42	0	0	4	12	34	66	352	0	0	66	22	113	0	30	27	22	73	137	16	268	11	8
