""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"	"V117"	"V118"	"V119"	"V120"	"V121"	"V122"	"V123"	"V124"	"V125"	"V126"	"V127"
"1"	195	46	183	57	106	194	41	144	152	24	6	0	0	9	145	0	32	0	335	7	0	44	9	75	13	39	159	0	40	0	7	48	0	0	0	40	0	0	11	0	0	28	70	0	48	6	16	0	132	0	0	38	27	864	0	81	0	11	258	0	0	31	0	192	0	83	190	1	0	12	0	63	157	8	301	17	39	0	12	17	45	104	156	803	0	6	59	80	0	8318	10	10	32	47	490	14	0	5	6	5	346	0	144	7	45	53	70	63	0	44	98	461	162	1	75	0	116	263	0	0	26	0	80	26	208	0	6
"2"	138	43	172	52	0	141	42	68	0	20	0	0	10	0	181	8	0	21	568	43	0	0	4	143	3	18	218	27	20	78	0	34	149	0	0	46	9	23	0	114	0	56	0	14	27	17	8	67	118	0	0	66	42	704	0	10	6	19	0	0	68	55	27	168	440	158	179	0	58	9	0	0	140	0	297	25	41	0	0	0	0	0	101	868	0	0	61	0	0	13138	33	13	31	44	556	13	32	0	1	4	0	0	97	0	21	106	57	21	17	12	61	388	0	5	91	8	69	0	0	0	34	45	56	0	285	0	0
"3"	144	23	0	39	82	0	21	52	130	37	0	2	17	0	108	1	0	0	414	0	137	47	3	64	18	0	154	0	0	34	5	19	0	58	11	80	0	0	0	126	92	34	0	0	51	8	0	19	120	97	0	66	36	1320	0	7	0	0	0	0	0	65	18	184	629	115	156	9	0	7	10	0	164	20	241	18	35	0	12	0	17	33	125	0	24	0	0	89	3	8715	0	14	84	32	498	3	0	0	2	44	0	293	107	0	35	0	58	0	0	14	34	360	93	7	0	13	52	0	83	7	17	70	74	0	270	5	13
"4"	166	31	118	58	80	194	42	44	143	41	0	0	19	10	158	95	13	23	207	0	167	48	0	0	27	26	202	0	0	51	10	0	0	86	21	0	35	10	26	120	109	0	0	0	0	13	25	25	177	155	0	42	12	3172	47	4	21	9	294	0	0	44	0	117	550	80	197	5	27	0	24	105	159	0	364	7	55	12	24	12	0	0	0	976	27	6	62	36	2	4818	20	29	0	72	527	17	0	0	5	0	0	0	124	0	46	0	55	8	54	6	0	518	54	6	78	7	0	217	3	0	0	0	89	0	287	9	0
"5"	143	27	197	56	68	126	68	17	156	53	1	0	24	0	152	3	0	0	445	19	147	18	9	62	28	0	249	31	0	37	16	0	189	71	12	30	0	41	9	118	0	50	79	18	59	5	0	0	0	88	1	65	0	6170	0	23	7	7	256	0	0	49	25	173	570	0	185	0	23	0	10	12	81	0	261	20	0	49	39	8	0	0	0	786	19	13	66	100	0	3250	21	0	32	0	542	0	40	87	24	0	263	275	121	0	30	11	39	33	60	7	78	404	0	0	0	0	109	278	0	15	8	49	114	0	208	23	7
"6"	143	31	112	30	73	0	35	68	149	27	0	0	0	0	132	0	0	0	0	0	221	44	11	0	0	37	301	0	0	0	0	25	0	33	0	26	0	0	0	137	157	0	82	21	67	13	0	27	127	86	0	52	27	3357	25	16	0	0	326	0	37	45	46	0	603	0	182	2	0	0	13	0	121	16	287	14	39	30	30	13	0	0	75	775	31	0	52	61	17	8690	0	8	0	61	537	16	7	0	0	0	0	0	142	0	83	54	0	11	18	2	0	432	161	12	0	28	116	193	0	15	23	70	133	25	239	8	0
"7"	0	0	0	0	96	0	25	14	160	16	4	484	0	0	138	4	14	0	278	0	0	67	7	104	0	15	220	0	0	60	7	39	0	0	6	37	18	10	14	0	183	111	92	16	57	0	9	9	153	0	0	102	33	67	33	18	12	20	307	68	0	65	0	119	561	110	158	13	77	0	0	59	126	19	308	10	37	0	0	0	0	0	132	785	0	16	57	102	0	2540	0	12	0	40	516	20	2	55	0	0	362	326	102	0	49	37	45	20	21	27	233	384	77	23	77	16	70	0	55	0	28	0	132	34	200	1	0
"8"	172	0	0	38	78	0	53	67	149	2	9	0	44	42	137	0	15	27	394	0	0	74	17	54	12	10	154	0	0	49	7	56	121	0	0	51	0	16	5	0	228	0	108	0	77	0	3	25	0	51	4	0	61	1770	27	7	0	0	271	28	33	77	0	0	446	143	216	2	0	0	35	0	111	11	323	0	80	120	8	0	51	0	0	853	19	17	70	0	0	1628	16	9	50	71	433	0	7	44	14	0	353	0	135	0	56	24	60	46	171	0	0	395	185	6	0	15	122	0	3	13	0	48	77	23	219	1	8
"9"	192	38	175	47	86	158	23	63	199	0	0	0	44	29	173	0	0	0	571	12	190	0	4	82	4	8	200	26	15	66	5	31	0	75	16	0	0	21	21	131	150	37	0	0	0	9	6	24	0	0	6	0	0	1085	57	37	0	5	229	0	0	58	33	175	488	135	156	11	76	0	15	53	118	3	365	15	29	72	40	0	33	1	71	923	0	7	0	79	0	727	0	33	60	15	494	0	20	0	4	0	130	0	124	22	42	0	31	43	104	11	115	385	0	9	100	11	203	224	5	5	48	18	57	24	331	0	5
"10"	148	27	0	25	89	250	38	0	160	15	9	7	20	0	122	0	0	55	245	9	107	58	2	82	0	0	174	43	7	45	7	40	0	39	0	49	12	0	5	140	0	0	0	10	27	0	0	0	0	74	0	51	30	3761	56	41	0	16	254	0	56	35	0	158	493	96	173	11	0	13	26	0	0	18	307	13	60	32	0	0	41	17	99	752	0	0	30	0	0	1595	86	33	27	14	519	0	0	0	3	0	0	311	149	0	40	63	23	0	0	23	77	411	146	3	0	11	49	253	256	15	29	0	71	20	237	0	0
