""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"	"V117"	"V118"	"V119"	"V120"	"V121"	"V122"	"V123"	"V124"	"V125"	"V126"	"V127"
"1"	0	0	263	41	0	354	65	17	0	63	3	0	0	17	142	0	34	1	416	51	0	62	1	92	0	0	252	31	6	18	2	0	115	64	0	45	10	22	9	0	127	36	0	13	57	8	0	0	0	136	4	35	42	159	0	23	0	15	299	37	0	35	58	186	743	85	217	0	31	0	32	16	0	8	235	14	18	48	36	0	28	0	100	0	47	1	32	100	41	12170	29	6	61	109	539	0	0	4	0	0	333	240	143	0	67	0	87	0	0	28	0	404	117	0	127	0	52	0	2	15	26	27	98	21	0	26	0
"2"	220	51	0	51	100	0	37	6	0	0	5	2	25	0	144	0	39	39	420	22	156	151	11	72	46	14	134	20	0	27	0	35	190	0	0	62	18	23	16	171	140	44	90	0	49	9	9	15	137	27	3	0	29	664	71	0	0	0	237	0	0	47	0	177	630	94	258	0	0	19	0	71	91	22	392	20	0	0	0	26	32	0	185	915	0	0	64	65	6	5722	0	0	50	0	516	12	0	12	0	0	0	468	161	15	45	0	28	57	0	35	0	397	193	43	121	14	117	245	0	0	30	0	98	6	190	0	4
"3"	181	21	90	54	67	189	51	46	115	23	0	0	6	0	0	19	23	0	525	0	192	39	0	0	27	0	249	0	49	41	0	27	129	0	23	47	7	22	0	149	248	57	0	21	25	16	0	68	0	84	3	49	0	1040	0	34	0	7	284	0	56	44	22	137	514	79	0	0	38	8	31	110	0	25	278	18	16	0	0	26	17	0	0	905	0	40	61	81	0	2182	0	55	37	75	494	0	0	8	0	0	0	0	130	18	56	0	37	0	153	19	104	357	0	0	0	13	118	277	0	0	0	39	95	7	250	16	0
"4"	110	29	0	31	78	0	40	0	128	0	2	0	27	5	125	1	55	0	370	0	0	94	0	70	9	24	190	45	0	51	8	25	112	144	22	0	0	9	0	0	150	46	79	11	37	16	9	13	172	0	5	96	33	1323	0	0	20	8	282	0	84	56	60	143	455	82	230	1	14	0	22	30	116	12	331	0	79	0	12	31	28	0	91	774	0	12	40	0	0	8403	0	10	52	78	576	0	8	0	1	0	0	244	140	34	60	0	44	4	0	11	95	395	166	0	152	16	140	0	0	0	47	61	147	15	0	0	2
"5"	196	41	0	61	0	0	30	0	0	41	0	378	17	0	141	0	9	0	473	10	296	60	8	0	10	0	158	0	4	47	0	31	140	84	12	0	18	25	10	0	78	69	0	14	44	12	0	5	156	16	0	47	11	3065	32	39	9	34	263	0	52	65	13	173	465	140	159	14	0	0	31	16	135	11	367	18	36	27	0	1	38	2	61	731	0	1	0	66	0	442	0	11	40	36	534	0	0	0	46	0	261	305	147	4	52	24	29	21	11	13	73	397	0	0	138	0	67	0	3	12	0	53	71	0	220	0	0
"6"	178	29	0	70	74	266	28	25	103	9	0	0	19	21	121	0	0	59	488	19	200	22	0	0	2	0	209	45	3	12	0	21	133	54	12	0	0	7	11	119	191	64	0	20	44	8	0	0	137	69	6	0	25	1895	27	0	5	0	247	36	0	52	0	158	618	72	208	6	0	18	32	53	0	0	335	0	38	17	24	0	0	0	192	0	12	4	72	0	0	3801	0	18	43	0	516	4	2	48	0	6	356	276	168	6	0	28	60	0	0	17	67	357	101	69	170	0	141	0	0	9	26	24	137	0	235	0	1
"7"	172	30	0	22	97	198	29	0	168	44	1	0	0	22	0	4	0	0	579	18	191	103	0	87	0	15	226	25	5	27	4	30	0	96	12	0	0	54	5	165	111	84	95	7	0	6	0	0	0	67	0	0	35	365	72	0	0	9	316	30	54	38	19	133	492	0	226	0	11	0	36	0	0	21	350	16	50	22	11	25	33	0	96	718	0	2	53	70	8	10362	0	20	60	40	501	13	24	0	0	27	0	496	122	0	21	29	65	35	0	11	0	444	135	94	75	17	91	0	0	6	0	0	86	0	259	5	4
"8"	0	13	183	0	71	338	34	26	141	13	0	0	0	0	154	3	112	0	0	0	181	0	0	89	0	35	197	41	3	0	0	50	67	115	5	0	0	3	7	104	0	61	0	14	0	6	0	24	0	84	2	0	8	342	0	102	0	5	336	46	0	57	0	184	501	122	186	5	18	0	10	113	0	18	338	0	24	0	0	4	0	0	104	825	0	16	57	0	0	3884	0	8	28	46	0	0	40	0	7	0	0	292	132	9	45	31	62	27	0	0	83	397	94	0	0	20	0	168	33	0	47	0	120	18	177	0	3
"9"	174	43	192	65	93	0	19	104	0	0	2	0	41	35	0	18	21	0	510	0	0	53	6	0	24	24	200	0	0	41	7	36	0	0	0	0	0	7	19	162	148	47	94	14	0	14	17	31	0	0	0	0	8	404	29	35	23	0	218	37	34	45	25	0	644	132	165	0	48	0	24	0	129	0	348	0	21	13	24	0	0	0	98	680	80	8	54	0	10	2696	0	0	32	38	511	17	0	12	9	9	0	214	87	18	28	0	0	31	0	4	115	406	72	0	110	20	37	255	11	13	0	33	107	0	228	8	1
"10"	0	25	158	54	69	0	73	0	173	42	3	1	25	11	128	0	19	8	367	0	146	41	2	73	0	0	197	0	0	23	0	14	102	0	0	54	27	5	25	102	205	37	68	14	0	10	5	19	167	71	0	0	0	749	33	29	0	11	297	0	79	49	37	0	0	117	202	0	42	5	0	43	0	0	325	0	18	24	0	37	19	1	69	0	0	0	64	71	0	12820	0	10	53	20	528	0	0	0	0	0	0	258	121	0	60	20	20	21	44	45	0	444	89	13	107	13	145	221	0	13	24	0	91	8	323	0	3
"11"	163	44	0	31	80	0	43	117	131	30	0	0	7	0	107	0	0	17	0	0	0	0	27	83	10	0	196	0	0	26	0	34	102	117	22	54	0	31	17	0	0	66	109	18	56	9	0	17	0	0	1	0	14	3358	0	0	24	0	285	38	52	70	82	122	596	89	0	0	0	5	18	114	93	10	358	0	32	0	27	0	0	0	0	727	38	0	72	220	4	968	0	0	29	26	489	0	13	0	0	45	0	398	151	0	29	66	0	32	147	11	0	333	223	21	0	10	0	263	0	3	0	35	99	11	203	0	15
"12"	221	23	0	86	120	0	18	0	171	19	5	0	25	0	142	1	35	59	384	0	261	0	7	0	54	8	321	19	17	35	6	16	212	0	71	45	0	11	12	161	79	129	0	0	0	0	14	47	0	76	0	42	24	15	0	45	9	0	247	36	0	40	0	152	680	85	0	5	56	0	10	0	153	0	417	0	38	73	0	16	0	0	0	0	0	6	85	0	0	3669	0	0	44	17	525	0	0	79	0	0	270	326	151	0	46	0	35	0	27	9	98	418	125	38	0	13	51	249	0	18	25	38	156	0	222	0	9
