""	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"	"V117"	"V118"	"V119"	"V120"	"V121"	"V122"	"V123"	"V124"	"V125"	"V126"	"V127"
"1"	134	31	229	52	80	177	28	0	120	0	0	0	41	0	169	0	0	0	349	0	258	62	2	58	18	13	184	0	24	56	5	53	122	138	10	0	0	6	0	145	146	0	0	0	0	15	0	39	162	96	10	42	26	892	27	22	0	0	202	62	0	35	34	151	601	128	228	5	58	2	37	0	0	11	318	0	43	29	25	29	35	0	164	798	0	0	48	0	0	3113	0	8	54	17	491	0	0	33	2	49	0	0	136	0	0	36	60	0	65	0	0	404	0	59	99	20	77	199	28	0	20	37	90	9	291	1	0
"2"	190	0	201	0	76	175	56	0	153	0	3	0	13	0	108	2	34	0	505	11	0	0	0	0	15	43	212	24	19	39	0	0	0	149	0	0	0	31	15	100	107	0	0	12	49	0	13	18	143	130	8	0	13	393	26	55	10	0	282	0	0	0	42	141	563	0	164	0	94	22	12	25	0	0	331	14	14	0	23	0	41	0	125	732	23	20	67	52	11	10634	38	35	59	25	511	11	0	10	0	102	0	280	114	11	0	0	0	4	34	23	104	392	100	22	114	14	95	251	0	0	23	49	56	4	198	26	9
"3"	125	44	122	56	68	182	35	64	169	15	0	5	11	0	167	10	60	11	595	15	0	55	3	101	0	25	287	47	26	32	0	46	134	0	9	60	0	0	19	182	148	31	64	15	47	0	7	51	162	0	0	59	25	1	48	26	0	0	245	0	24	42	0	155	499	78	170	10	0	0	11	0	132	0	357	0	20	14	0	10	0	0	0	935	0	13	0	131	18	4360	0	15	45	88	516	0	3	0	0	29	283	327	125	3	65	43	77	0	0	8	0	390	223	2	0	21	125	211	0	0	0	73	111	34	263	0	0
"4"	188	29	141	37	0	138	47	238	125	13	2	8	0	6	156	2	0	0	306	0	0	132	0	66	12	0	224	40	9	31	27	10	80	0	0	29	5	25	0	0	0	42	69	16	37	15	9	25	113	62	7	0	38	1860	0	23	21	7	0	0	111	40	0	127	554	105	164	1	57	11	0	84	164	2	368	11	14	0	0	16	0	0	100	875	0	0	47	0	14	9488	0	18	38	32	594	11	18	0	0	39	0	340	124	4	71	15	0	0	81	43	107	427	176	5	0	0	69	279	0	0	0	58	52	20	237	5	10
"5"	219	0	214	0	67	0	25	0	0	1	2	0	0	4	125	0	52	0	0	0	0	83	0	0	0	91	0	0	6	52	0	0	0	62	0	47	0	34	17	0	127	45	56	14	84	14	2	0	195	70	1	56	30	50	0	37	31	12	302	0	68	48	0	202	548	71	212	0	32	10	16	0	116	19	266	12	0	0	17	0	17	0	176	729	0	0	82	0	0	2327	33	31	39	43	483	0	14	0	7	22	334	0	156	24	87	107	59	51	133	23	115	389	68	9	110	0	141	184	0	32	0	56	100	0	323	6	0
"6"	122	33	0	0	93	256	51	47	158	5	0	0	10	11	102	0	19	36	0	0	0	0	7	114	17	35	248	20	0	75	3	23	83	74	30	71	0	14	24	100	110	20	104	9	42	14	0	3	145	59	0	39	23	672	46	0	0	2	305	0	36	52	67	159	625	49	241	0	50	0	0	0	127	15	315	5	58	29	16	44	0	0	115	724	42	10	0	0	6	3008	0	42	56	56	463	20	18	0	0	24	0	0	161	6	48	23	45	0	89	30	56	346	179	21	204	8	152	185	37	20	21	0	43	57	224	4	12
"7"	201	0	0	45	0	364	45	36	109	6	0	197	13	0	145	4	0	0	262	12	0	54	0	0	15	49	0	0	0	0	7	25	0	88	15	61	27	19	17	0	81	45	61	12	54	0	13	18	0	0	8	65	35	940	17	91	0	0	252	0	0	59	93	175	512	0	183	0	0	0	28	67	86	0	369	15	25	2	16	0	0	0	69	703	0	8	34	0	7	2903	0	19	22	20	576	0	22	0	0	0	0	0	132	0	65	23	23	52	203	21	101	335	254	16	0	18	69	270	1	0	17	32	79	11	269	4	11
"8"	221	30	131	66	73	0	32	25	125	0	4	8	0	0	119	11	35	0	477	0	151	108	2	0	11	54	217	0	5	57	10	43	0	0	0	84	9	20	7	0	80	53	0	0	0	6	8	0	137	0	0	40	24	292	0	69	0	0	270	52	58	49	25	190	576	84	208	0	22	10	22	0	0	17	343	19	26	0	0	0	0	0	82	835	0	0	58	0	0	3389	34	16	40	0	468	24	0	0	0	39	329	0	147	0	0	37	0	67	109	10	96	358	0	62	114	0	89	269	4	10	28	49	0	0	214	0	0
"9"	136	15	178	40	70	166	41	36	133	6	7	255	40	0	147	0	47	0	309	0	133	0	0	93	7	14	238	0	17	59	4	53	127	0	26	0	0	7	11	0	0	0	89	10	63	11	0	28	0	45	0	65	33	3493	0	69	10	0	336	66	91	63	83	147	422	131	164	3	0	0	24	0	94	5	327	26	28	21	34	0	0	0	131	893	0	10	70	72	3	1766	62	0	47	0	570	6	3	20	25	43	297	394	147	31	48	96	0	0	45	13	125	359	134	29	70	11	115	0	0	11	0	0	65	19	207	10	1
"10"	141	17	0	0	79	214	42	0	182	9	0	0	17	0	140	24	0	17	431	0	0	0	0	108	20	16	229	58	1	50	0	29	0	62	14	0	0	0	8	98	220	62	71	0	79	7	0	19	125	85	6	0	14	1218	0	25	8	0	277	0	82	61	0	176	550	88	203	8	20	0	10	22	118	17	346	12	39	0	8	0	28	0	168	868	0	5	62	53	20	15	19	0	33	26	517	14	28	74	64	25	258	341	142	0	54	53	23	19	0	12	145	357	109	37	0	10	126	194	0	6	14	41	153	0	254	9	0
