""	"OTU1"	"OTU2"	"OTU3"	"OTU4"	"OTU5"	"OTU6"	"OTU7"	"OTU8"	"OTU9"	"OTU10"	"OTU11"	"OTU12"	"OTU13"	"OTU14"	"OTU15"	"OTU16"	"OTU17"	"OTU18"	"OTU19"	"OTU20"	"OTU21"	"OTU22"	"OTU23"	"OTU24"	"OTU25"	"OTU26"	"OTU27"	"OTU28"	"OTU29"	"OTU30"	"OTU31"	"OTU32"	"OTU33"	"OTU34"	"OTU35"	"OTU36"	"OTU37"	"OTU38"	"OTU39"	"OTU40"	"OTU41"	"OTU42"	"OTU43"	"OTU44"	"OTU45"	"OTU46"	"OTU47"	"OTU48"	"OTU49"	"OTU50"	"OTU51"	"OTU52"	"OTU53"	"OTU54"	"OTU55"	"OTU56"	"OTU57"	"OTU58"	"OTU59"	"OTU60"	"OTU61"	"OTU62"	"OTU63"	"OTU64"	"OTU65"	"OTU66"	"OTU67"	"OTU68"	"OTU69"	"OTU70"	"OTU71"	"OTU72"	"OTU73"	"OTU74"	"OTU75"	"OTU76"	"OTU77"	"OTU78"	"OTU79"	"OTU80"	"OTU81"	"OTU82"	"OTU83"	"OTU84"	"OTU85"	"OTU86"	"OTU87"	"OTU88"	"OTU89"	"OTU90"	"OTU91"	"OTU92"	"OTU93"	"OTU94"	"OTU95"	"OTU96"	"OTU97"	"OTU98"	"OTU99"	"OTU100"	"OTU101"	"OTU102"	"OTU103"	"OTU104"	"OTU105"	"OTU106"	"OTU107"	"OTU108"	"OTU109"	"OTU110"	"OTU111"	"OTU112"	"OTU113"	"OTU114"	"OTU115"	"OTU116"	"OTU117"	"OTU118"	"OTU119"	"OTU120"	"OTU121"	"OTU122"	"OTU123"	"OTU124"	"OTU125"	"OTU126"	"OTU127"
"1"	143	46	199	0	70	148	28	67	164	34	2	9	39	0	118	3	9	24	255	0	0	0	0	65	5	50	247	0	3	0	13	36	0	0	0	0	0	33	0	152	139	45	0	0	44	9	0	43	0	94	8	96	20	617	0	31	0	0	258	33	0	61	27	147	530	119	0	2	32	21	8	0	93	6	341	18	0	0	15	31	25	26	0	862	31	43	51	52	0	3875	16	30	43	25	452	0	4	11	0	0	0	0	141	3	42	30	0	13	0	24	0	413	181	0	90	18	108	230	0	0	18	0	88	23	222	3	9
"2"	177	14	0	51	82	213	29	0	120	0	3	18	5	10	112	0	0	16	0	4	0	0	14	76	0	0	221	0	10	48	0	40	0	63	19	20	10	38	13	177	124	93	0	0	51	0	17	34	0	0	0	0	34	2	0	45	25	0	195	0	44	58	0	157	688	89	208	0	27	15	0	0	121	21	297	15	44	11	0	12	17	0	81	705	15	0	40	121	0	1159	44	21	22	32	489	10	0	7	0	31	0	0	182	0	38	28	77	21	0	5	67	383	207	10	106	0	76	0	0	24	0	50	89	0	222	11	2
"3"	180	29	0	44	92	140	42	0	102	25	3	0	0	6	170	0	0	21	493	21	0	0	0	0	10	8	208	60	0	0	5	0	0	79	9	73	19	3	0	0	175	59	85	12	40	8	14	0	119	0	0	0	0	773	70	104	0	3	253	14	91	62	0	183	535	111	194	6	47	3	18	39	0	0	301	0	0	6	0	22	3	4	65	774	0	0	49	0	16	10728	41	23	46	20	514	0	19	0	0	0	0	281	129	29	39	52	0	52	0	9	0	349	0	0	0	0	118	182	3	0	12	65	105	7	269	0	9
"4"	0	55	195	55	0	383	46	147	145	11	0	0	0	10	132	6	0	0	398	4	0	40	0	113	50	14	219	0	1	45	11	69	61	0	35	57	8	10	7	0	143	47	0	10	30	0	0	44	0	54	1	0	14	5344	0	50	30	16	216	42	82	36	0	177	553	0	196	0	42	0	0	0	126	6	302	0	46	26	0	0	0	5	111	785	38	43	24	86	19	2043	56	11	28	18	520	12	0	9	0	10	0	321	126	0	37	0	0	0	0	9	86	306	70	13	0	0	113	278	9	34	25	57	164	0	238	1	10
"5"	0	67	139	51	73	286	59	92	181	19	0	166	0	0	198	0	0	0	349	0	0	77	0	103	5	41	175	19	5	29	0	0	165	95	18	47	0	40	4	0	92	124	53	0	116	9	19	8	172	0	1	42	0	556	0	31	0	0	287	0	58	47	33	188	501	0	0	9	24	11	24	0	222	8	305	17	34	0	0	0	32	0	112	705	0	0	30	0	6	11804	37	24	46	0	545	0	32	76	11	0	248	0	154	0	20	45	0	0	0	9	80	358	0	0	0	9	88	0	27	36	0	0	72	0	262	5	0
"6"	0	30	103	0	61	148	32	0	109	0	0	0	0	15	151	6	0	0	0	6	0	0	0	74	2	20	236	0	0	34	0	40	195	77	0	119	0	32	8	156	101	0	69	13	30	0	0	19	147	81	0	42	0	133	0	101	16	0	286	85	100	65	0	144	649	97	0	8	39	8	20	0	161	13	371	12	40	57	33	0	0	1	81	701	48	30	40	0	0	6145	8	50	43	87	543	0	0	0	0	0	0	274	160	7	55	63	84	0	5	68	94	377	129	3	0	13	0	0	0	0	35	45	62	26	233	0	0
"7"	0	22	0	66	91	0	17	0	150	54	2	0	9	22	135	9	26	63	259	27	0	41	17	109	6	0	262	0	5	73	6	70	0	59	39	0	0	0	0	119	97	0	56	14	0	0	0	37	179	125	0	31	51	4301	42	40	13	11	293	0	0	38	56	115	484	95	153	0	0	22	16	0	157	15	317	13	46	0	21	0	51	0	0	918	0	0	77	78	13	2386	0	22	47	37	545	5	0	0	5	0	0	383	153	0	0	0	67	19	0	25	0	408	0	0	0	0	133	332	0	0	11	0	0	5	205	5	4
"8"	148	22	0	46	60	181	55	0	157	7	13	3	18	0	172	2	48	0	339	0	140	0	1	0	34	19	141	33	28	33	8	0	190	84	13	43	5	3	9	108	167	0	0	10	0	0	26	0	0	92	0	60	14	469	0	46	12	0	265	15	78	57	27	0	557	0	161	0	0	0	0	0	72	11	330	7	49	25	29	0	71	0	91	718	11	0	44	0	0	6954	0	12	65	0	507	0	0	31	3	11	0	424	0	0	38	13	32	14	23	15	118	359	95	43	69	0	73	424	0	5	16	0	0	3	244	24	0
"9"	124	48	0	39	80	130	26	75	132	0	0	54	16	0	176	1	0	0	344	0	0	48	7	0	33	43	268	0	0	0	12	38	125	0	29	66	0	17	0	153	173	28	0	14	0	0	5	11	0	0	0	71	32	3036	0	12	0	26	295	0	0	77	55	155	556	118	155	11	50	0	0	0	128	27	342	14	12	0	39	9	11	0	156	829	46	0	63	0	0	474	18	2	32	85	508	4	0	0	0	0	205	297	103	14	41	17	0	9	0	34	77	419	135	26	119	14	130	0	17	4	42	34	72	20	235	16	0
"10"	154	30	225	31	88	342	23	0	146	19	7	0	7	31	153	0	0	0	488	20	136	0	8	104	0	0	275	31	0	0	5	0	0	0	11	30	0	18	6	0	227	61	0	13	50	15	0	36	165	0	3	51	32	754	0	33	21	0	316	0	0	0	58	0	0	103	216	0	47	0	10	0	126	12	427	0	30	11	9	4	0	0	97	0	15	5	73	0	0	9600	15	5	61	51	501	21	0	25	13	31	0	378	172	37	29	0	0	7	0	12	0	432	110	16	0	8	0	226	0	6	19	52	66	24	212	0	0
